nom_sample;dent;hauteur_sample;d13CVPDB_COR;d13C/12C_SD;d18OVPD_COR;d18O/16O _SD;d18Ovsmow;predicted_phosphate_Iacumin1996;;;;;;;;;;;;;;;;;
R-6822_M1/2 1;M1/2;64,6;-10,837875;0,018;-3,7985;0,018;26,99408837;17,9542066;;;;;;;;;;;;;;;;;
R-6822_M1/2 2;M1/2;60,88;-10,753875;0,01;-4,3425;0,02;26,43327333;17,40460786;;;;;;;;;;;;;;;;;
R-6822_M1/2 3;M1/2;56,55;-10,599875;0,02;-4,8725;0,026;25,88689103;16,8691532;;;;;;;;;;;;;;;;;
R-6822_M1/2 4;M1/2;53,55;-10,545875;0,007;-5,1325;0,025;25,61885443;16,60647734;;;;;;;;;;;;;;;;;
R-6822_M1/2 5;M1/2;49,24;-10,648875;0,019;-4,7585;0,026;26,00441477;16,98432647;;;;;;;;;;;;;;;;;
R-6822_M1/2 6;M1/2;46,2;-10,767875;0,014;-4,3875;0,024;26,38688238;17,35914473;;;;;;;;;;;;;;;;;
R-6822_M1/2 7;M1/2;42,61;-10,876875;0,014;-4,3025;0,034;26,47450973;17,44501953;;;;;;;;;;;;;;;;;
R-6822_M1/2 8;M1/2;38,18;-11,000875;0,009;-4,2045;0,026;26,57553891;17,54402813;;;;;;;;;;;;;;;;;
R-6822_M1/2 9;M1/2;34,2;-11,026875;0,011;-3,8745;0,029;26,91573921;17,87742442;;;;;;;;;;;;;;;;;
R-6822_M1/2 10;M1/2;30,24;-11,032875;0,013;-4,0015;0,022;26,78481364;17,74911736;;;;;;;;;;;;;;;;;
R-6822_M1/2 11;M1/2;25,31;-11,211875;0,021;-4,2195;0,013;26,56007526;17,52887375;;;;;;;;;;;;;;;;;
R-6822_M1/2 12;M1/2;21,29;-11,140875;0,032;-4,6835;0,027;26,08173302;17,06009835;;;;;;;;;;;;;;;;;
R-6822_M1/2 13;M1/2;17,44;-11,222875;0,019;-5,3775;0,027;25,36628148;16,35895585;;;;;;;;;;;;;;;;;
R-6822_M1/2 14;M1/2;13,95;-11,121875;0,008;-5,9215;0,025;24,80546644;15,80935711;;;;;;;;;;;;;;;;;
R-6822_M1/2 15;M1/2;10,48;-10,989875;0,024;-5,8425;0,053;24,88690833;15,88917016;;;;;;;;;;;;;;;;;
R-6822_M1/2 16;M1/2;7,01;-11,007875;0,014;-5,5015;0,019;25,23844864;16,23367966;;;;;;;;;;;;;;;;;
R-7734_M3 1;M3;61,32;-10,75725;0,014;-5,3465;0,022;25,39823969;16,39027489;;;;;;;;;;;;;;;;;
R-7734_M3 2;M3;58,34;-10,93625;0,015;-4,7705;0,017;25,99204385;16,97220297;;;;;;;;;;;;;;;;;
R-7734_M3 3;M3;54,57;-11,07325;0,018;-4,6325;0,024;26,13430943;17,11162324;;;;;;;;;;;;;;;;;
R-7734_M3 4;M3;53,01;-11,20525;0,015;-4,4115;0,021;26,36214054;17,33489772;;;;;;;;;;;;;;;;;
R-7734_M3 5;M3;49,34;-11,32925;0,018;-4,0175;0,025;26,76831908;17,73295269;;;;;;;;;;;;;;;;;
R-7734_M3 6;M3;47,08;-11,11125;0,022;-3,9065;0,021;26,88275009;17,84509508;;;;;;;;;;;;;;;;;
R-7734_M3 7;M3;44,77;-11,16125;0,018;-3,7715;0,033;27,02192294;17,98148448;;;;;;;;;;;;;;;;;
R-7734_M3 8;M3;41,93;-11,18025;0,017;-4,3055;0,022;26,471417;17,44198866;;;;;;;;;;;;;;;;;
R-7734_M3 9;M3;38,02;-10,97725;0,011;-4,5905;0,016;26,17760765;17,15405549;;;;;;;;;;;;;;;;;
R-7734_M3 10;M3;35,41;-10,93325;0,016;-4,9205;0,005;25,83740735;16,8206592;;;;;;;;;;;;;;;;;
